Date,Name,Year,Letterboxd URI,Rating
2026-01-27,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2026-01-27,Gattaca,1997,https://boxd.it/29Du,4.5
2026-01-27,Paprika,2006,https://boxd.it/23wW,4
2026-01-27,Beetlejuice Beetlejuice,2024,https://boxd.it/yyGs,3.5
2026-01-27,Beetlejuice,1988,https://boxd.it/24QI,4.5
2026-01-27,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,4
2026-01-27,The Ritual,2017,https://boxd.it/fo0I,3.5
2026-01-27,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/bg8Q,3.5
2026-01-27,The Big Lebowski,1998,https://boxd.it/2b6C,4
2026-01-27,Twin Peaks: The Missing Pieces,2014,https://boxd.it/8NH4,3.5
2026-01-27,Gone Girl,2014,https://boxd.it/6hQu,4.5
2026-01-27,The Game,1997,https://boxd.it/26vC,4.5
2026-01-27,The Circle,2017,https://boxd.it/bj1I,3
2026-01-27,Snatch,2000,https://boxd.it/2b7U,4
2026-01-27,Gladiator II,2024,https://boxd.it/kqQQ,2.5
2026-01-27,Deadpool,2016,https://boxd.it/9fOC,3
2026-01-27,Glass Onion,2022,https://boxd.it/oCkK,4
2026-01-27,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,4
2026-01-27,Frankenstein,2025,https://boxd.it/Ecsg,4.5
2026-01-27,Dracula,2025,https://boxd.it/Lng0,3
2026-01-27,The Holdovers,2023,https://boxd.it/vHza,4.5
2026-01-27,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2026-01-27,Wake Up Dead Man,2025,https://boxd.it/uAKS,4.5
2026-01-27,The Worst Person in the World,2021,https://boxd.it/oyws,3.5
2026-01-27,Home Alone,1990,https://boxd.it/29Fg,4
2026-01-27,Angel's Egg,1985,https://boxd.it/1LeA,5
2026-01-27,Rabbits,2002,https://boxd.it/SaI,3.5
2026-01-27,Inland Empire,2006,https://boxd.it/28d6,4
2026-01-27,EXmas,2023,https://boxd.it/JeKc,2
2026-01-27,Keeper,2025,https://boxd.it/N8lI,2.5
2026-01-27,Following,1998,https://boxd.it/1Tj4,4.5
2026-01-27,Insomnia,2002,https://boxd.it/2aB0,3.5
2026-01-27,Triangle,2009,https://boxd.it/1tQG,4
2026-01-27,One Battle After Another,2025,https://boxd.it/DUHM,4.5
2026-01-27,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2026-01-27,The Christmas Dragon,2014,https://boxd.it/9W80,1
2026-01-27,Red One,2024,https://boxd.it/vTBM,2
2026-01-27,Orpheus,1950,https://boxd.it/247o,4.5
2026-01-27,The Blood of a Poet,1932,https://boxd.it/19Bw,3
2026-01-27,Aftersun,2022,https://boxd.it/Arw0,4
2026-01-27,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4.5
2026-01-27,Nouvelle Vague,2025,https://boxd.it/LLLQ,4
2026-01-27,Breathless,1960,https://boxd.it/2aIK,4
2026-01-27,Memoir of a Snail,2024,https://boxd.it/EgX8,4.5
2026-01-27,Flow,2024,https://boxd.it/v1Ei,3.5
2026-01-27,Ratatouille,2007,https://boxd.it/27ww,5
2026-01-27,Minority Report,2002,https://boxd.it/2aWi,4
2026-01-27,Prometheus,2012,https://boxd.it/2s9e,3
2026-01-27,Back to the Future,1985,https://boxd.it/2b8e,5
2026-01-27,Gladiator,2000,https://boxd.it/2b9m,5
2026-01-27,Pink Floyd: Live at Pompeii,1972,https://boxd.it/1v90,5
2026-01-27,Taken 3,2014,https://boxd.it/7Iqq,2.5
2026-01-27,Taken 2,2012,https://boxd.it/2TWi,3
